SSID; BSS; RSSI; Kanal; Datum
;" ""7E:8A:20:0F:32:CA""";" ""-70""";" ""36""";" ""18:18:14"""
;" ""7E:8A:20:0F:32:CA""";" ""-70""";" ""36""";" ""18:18:18"""
HFU Guest;" ""74:83:C2:70:21:C4""";" ""-92""";" ""1""";" ""18:18:11"""
HFU Guest;" ""74:83:C2:70:21:C4""";" ""-92""";" ""1""";" ""18:18:14"""
;;;;
SSID; BSS; RSSI; Kanal; Datum
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-73""";" ""6""";" ""18:18:41"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-74""";" ""6""";" ""18:18:44"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-75""";" ""6""";" ""18:18:48"""
;" ""7E:8A:20:0F:32:CB""";" ""-73""";" ""6""";" ""18:18:41"""
;" ""7E:8A:20:0F:32:CB""";" ""-73""";" ""6""";" ""18:18:44"""
;" ""7E:8A:20:0F:32:CB""";" ""-73""";" ""6""";" ""18:18:48"""
HFU Open;" ""86:8A:20:0F:32:62""";" ""-78""";" ""36""";" ""18:18:41"""
HFU Open;" ""86:8A:20:0F:32:62""";" ""-81""";" ""36""";" ""18:18:44"""
HFU Open;" ""86:8A:20:0F:32:62""";" ""-80""";" ""36""";" ""18:18:48"""
;" ""7E:8A:20:0F:32:62""";" ""-72""";" ""36""";" ""18:18:41"""
;" ""7E:8A:20:0F:32:62""";" ""-72""";" ""36""";" ""18:18:44"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-87""";" ""44""";" ""18:18:41"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-85""";" ""44""";" ""18:18:44"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-86""";" ""44""";" ""18:18:48"""
HFU Guest;" ""B4:FB:E4:4D:17:84""";" ""-67""";" ""1""";" ""18:18:41"""
HFU Guest;" ""B4:FB:E4:4D:17:84""";" ""-67""";" ""1""";" ""18:18:44"""
HFU Guest;" ""B4:FB:E4:4D:17:84""";" ""-67""";" ""1""";" ""18:18:48"""
eduroam;" ""BE:FB:E4:4E:13:20""";" ""-50""";" ""44""";" ""18:18:41"""
eduroam;" ""BE:FB:E4:4E:13:20""";" ""-53""";" ""44""";" ""18:18:44"""
eduroam;" ""BE:FB:E4:4E:13:20""";" ""-49""";" ""44""";" ""18:18:48"""
HFU Open;" ""86:8A:20:0F:32:63""";" ""-69""";" ""6""";" ""18:18:41"""
HFU Open;" ""86:8A:20:0F:32:63""";" ""-69""";" ""6""";" ""18:18:44"""
HFU Open;" ""86:8A:20:0F:32:63""";" ""-70""";" ""6""";" ""18:18:48"""
;" ""7E:8A:20:0F:32:63""";" ""-69""";" ""6""";" ""18:18:48"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-58""";" ""44""";" ""18:18:41"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-57""";" ""44""";" ""18:18:44"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-58""";" ""44""";" ""18:18:48"""
HFU Guest;" ""B4:FB:E4:4E:14:C8""";" ""-88""";" ""44""";" ""18:18:41"""
HFU Guest;" ""B4:FB:E4:4E:14:C8""";" ""-86""";" ""44""";" ""18:18:44"""
HFU Guest;" ""B4:FB:E4:4E:14:C8""";" ""-86""";" ""44""";" ""18:18:48"""
;" ""1E:E8:29:ED:32:54""";" ""-91""";" ""6""";" ""18:18:48"""
HFU Open;" ""26:E8:29:ED:32:54""";" ""-91""";" ""6""";" ""18:18:48"""
HFU Guest;" ""B4:FB:E4:4E:13:20""";" ""-53""";" ""44""";" ""18:18:41"""
HFU Guest;" ""B4:FB:E4:4E:13:20""";" ""-49""";" ""44""";" ""18:18:44"""
HFU Guest;" ""B4:FB:E4:4E:13:20""";" ""-52""";" ""44""";" ""18:18:48"""
HFU Guest;" ""78:8A:20:0F:32:CA""";" ""-69""";" ""36""";" ""18:18:41"""
HFU Guest;" ""78:8A:20:0F:32:CA""";" ""-68""";" ""36""";" ""18:18:44"""
HFU Guest;" ""78:8A:20:0F:32:CA""";" ""-68""";" ""36""";" ""18:18:48"""
HFU Open;" ""C2:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:18:41"""
HFU Open;" ""C2:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:18:44"""
HFU Open;" ""C2:FB:E4:4D:14:C8""";" ""-94""";" ""11""";" ""18:18:48"""
;" ""BA:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:18:41"""
;" ""BA:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:18:44"""
;" ""BA:FB:E4:4D:14:C8""";" ""-93""";" ""11""";" ""18:18:48"""
HFU Guest;" ""B4:FB:E4:4E:17:84""";" ""-58""";" ""44""";" ""18:18:41"""
HFU Guest;" ""B4:FB:E4:4E:17:84""";" ""-57""";" ""44""";" ""18:18:44"""
HFU Guest;" ""B4:FB:E4:4E:17:84""";" ""-58""";" ""44""";" ""18:18:48"""
HFU Open;" ""C2:FB:E4:4D:13:20""";" ""-49""";" ""11""";" ""18:18:41"""
HFU Open;" ""C2:FB:E4:4D:13:20""";" ""-51""";" ""11""";" ""18:18:44"""
HFU Open;" ""C2:FB:E4:4D:13:20""";" ""-51""";" ""11""";" ""18:18:48"""
;" ""BA:FB:E4:4D:13:20""";" ""-49""";" ""11""";" ""18:18:41"""
;" ""BA:FB:E4:4D:13:20""";" ""-51""";" ""11""";" ""18:18:44"""
;" ""BA:FB:E4:4D:13:20""";" ""-51""";" ""11""";" ""18:18:48"""
HFU Guest;" ""78:8A:20:0F:32:CB""";" ""-71""";" ""6""";" ""18:18:41"""
HFU Guest;" ""78:8A:20:0F:32:CB""";" ""-71""";" ""6""";" ""18:18:44"""
HFU Guest;" ""78:8A:20:0F:32:CB""";" ""-74""";" ""6""";" ""18:18:48"""
eduroam;" ""22:E8:29:ED:30:A7""";" ""-93""";" ""1""";" ""18:18:44"""
eduroam;" ""22:E8:29:ED:30:A7""";" ""-93""";" ""1""";" ""18:18:48"""
HFU Guest;" ""78:8A:20:0F:32:62""";" ""-78""";" ""36""";" ""18:18:41"""
HFU Guest;" ""78:8A:20:0F:32:62""";" ""-82""";" ""36""";" ""18:18:44"""
HFU Guest;" ""78:8A:20:0F:32:62""";" ""-82""";" ""36""";" ""18:18:48"""
eduroam;" ""22:E8:29:ED:2F:EA""";" ""-92""";" ""6""";" ""18:18:48"""
HFU Open;" ""C2:FB:E4:4D:17:84""";" ""-67""";" ""1""";" ""18:18:41"""
HFU Open;" ""C2:FB:E4:4D:17:84""";" ""-68""";" ""1""";" ""18:18:44"""
HFU Open;" ""C2:FB:E4:4D:17:84""";" ""-67""";" ""1""";" ""18:18:48"""
;" ""BA:FB:E4:4D:17:84""";" ""-67""";" ""1""";" ""18:18:41"""
;" ""BA:FB:E4:4D:17:84""";" ""-67""";" ""1""";" ""18:18:44"""
;" ""BA:FB:E4:4D:17:84""";" ""-67""";" ""1""";" ""18:18:48"""
HFU Guest;" ""78:8A:20:0F:32:63""";" ""-66""";" ""6""";" ""18:18:41"""
HFU Guest;" ""78:8A:20:0F:32:63""";" ""-69""";" ""6""";" ""18:18:44"""
HFU Guest;" ""78:8A:20:0F:32:63""";" ""-68""";" ""6""";" ""18:18:48"""
HFU Guest;" ""78:8A:20:0F:1C:63""";" ""-93""";" ""1""";" ""18:18:41"""
eduroam;" ""82:8A:20:0F:32:CA""";" ""-68""";" ""36""";" ""18:18:41"""
eduroam;" ""82:8A:20:0F:32:CA""";" ""-68""";" ""36""";" ""18:18:44"""
eduroam;" ""82:8A:20:0F:32:CA""";" ""-68""";" ""36""";" ""18:18:48"""
eduroam;" ""BE:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:18:41"""
eduroam;" ""BE:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:18:44"""
eduroam;" ""BE:FB:E4:4D:14:C8""";" ""-93""";" ""11""";" ""18:18:48"""
HFU Guest;" ""18:E8:29:ED:32:54""";" ""-91""";" ""6""";" ""18:18:48"""
AP_KN_24;" ""00:27:22:82:29:6E""";" ""-93""";" ""9""";" ""18:18:41"""
AP_KN_24;" ""00:27:22:82:29:6E""";" ""-93""";" ""9""";" ""18:18:44"""
AP_KN_24;" ""00:27:22:82:29:6E""";" ""-93""";" ""9""";" ""18:18:48"""
eduroam;" ""BE:FB:E4:4D:13:20""";" ""-49""";" ""11""";" ""18:18:41"""
eduroam;" ""BE:FB:E4:4D:13:20""";" ""-51""";" ""11""";" ""18:18:44"""
eduroam;" ""BE:FB:E4:4D:13:20""";" ""-52""";" ""11""";" ""18:18:48"""
HFU Open;" ""26:E8:29:ED:30:A7""";" ""-93""";" ""1""";" ""18:18:41"""
eduroam;" ""82:8A:20:0F:32:CB""";" ""-73""";" ""6""";" ""18:18:41"""
eduroam;" ""82:8A:20:0F:32:CB""";" ""-74""";" ""6""";" ""18:18:44"""
eduroam;" ""82:8A:20:0F:32:CB""";" ""-75""";" ""6""";" ""18:18:48"""
eduroam;" ""82:8A:20:0F:32:62""";" ""-78""";" ""36""";" ""18:18:41"""
eduroam;" ""82:8A:20:0F:32:62""";" ""-82""";" ""36""";" ""18:18:44"""
eduroam;" ""82:8A:20:0F:32:62""";" ""-80""";" ""36""";" ""18:18:48"""
HFU Open;" ""C2:FB:E4:4E:14:C8""";" ""-86""";" ""44""";" ""18:18:41"""
HFU Open;" ""C2:FB:E4:4E:14:C8""";" ""-86""";" ""44""";" ""18:18:44"""
HFU Open;" ""C2:FB:E4:4E:14:C8""";" ""-86""";" ""44""";" ""18:18:48"""
;" ""BA:FB:E4:4E:14:C8""";" ""-87""";" ""44""";" ""18:18:41"""
;" ""BA:FB:E4:4E:14:C8""";" ""-86""";" ""44""";" ""18:18:44"""
;" ""BA:FB:E4:4E:14:C8""";" ""-86""";" ""44""";" ""18:18:48"""
HFU Open;" ""C2:FB:E4:4E:13:20""";" ""-52""";" ""44""";" ""18:18:41"""
HFU Open;" ""C2:FB:E4:4E:13:20""";" ""-49""";" ""44""";" ""18:18:44"""
HFU Open;" ""C2:FB:E4:4E:13:20""";" ""-51""";" ""44""";" ""18:18:48"""
eduroam;" ""BE:FB:E4:4D:17:84""";" ""-67""";" ""1""";" ""18:18:41"""
eduroam;" ""BE:FB:E4:4D:17:84""";" ""-67""";" ""1""";" ""18:18:44"""
eduroam;" ""BE:FB:E4:4D:17:84""";" ""-67""";" ""1""";" ""18:18:48"""
DIRECT-RI-IMC4500_Ausstellung;" ""12:98:C3:3B:DF:A6""";" ""-92""";" ""6""";" ""18:18:41"""
DIRECT-RI-IMC4500_Ausstellung;" ""12:98:C3:3B:DF:A6""";" ""-91""";" ""6""";" ""18:18:44"""
DIRECT-RI-IMC4500_Ausstellung;" ""12:98:C3:3B:DF:A6""";" ""-91""";" ""6""";" ""18:18:48"""
HFU Guest;" ""B4:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:18:41"""
HFU Guest;" ""B4:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:18:44"""
HFU Guest;" ""B4:FB:E4:4D:14:C8""";" ""-94""";" ""11""";" ""18:18:48"""
eduroam;" ""82:8A:20:0F:32:63""";" ""-68""";" ""6""";" ""18:18:41"""
eduroam;" ""82:8A:20:0F:32:63""";" ""-69""";" ""6""";" ""18:18:44"""
eduroam;" ""82:8A:20:0F:32:63""";" ""-70""";" ""6""";" ""18:18:48"""
HFU Open;" ""26:E8:29:ED:2F:EA""";" ""-93""";" ""6""";" ""18:18:48"""
HFU Guest;" ""B4:FB:E4:4D:13:20""";" ""-49""";" ""11""";" ""18:18:41"""
HFU Guest;" ""B4:FB:E4:4D:13:20""";" ""-51""";" ""11""";" ""18:18:44"""
HFU Guest;" ""B4:FB:E4:4D:13:20""";" ""-51""";" ""11""";" ""18:18:48"""
HFU Open;" ""86:8A:20:0F:32:CA""";" ""-68""";" ""36""";" ""18:18:41"""
HFU Open;" ""86:8A:20:0F:32:CA""";" ""-68""";" ""36""";" ""18:18:44"""
HFU Open;" ""86:8A:20:0F:32:CA""";" ""-68""";" ""36""";" ""18:18:48"""
;" ""7E:8A:20:0F:32:CA""";" ""-70""";" ""36""";" ""18:18:41"""
;" ""7E:8A:20:0F:32:CA""";" ""-68""";" ""36""";" ""18:18:44"""
;" ""7E:8A:20:0F:32:CA""";" ""-68""";" ""36""";" ""18:18:48"""
;" ""BA:FB:E4:4E:17:84""";" ""-58""";" ""44""";" ""18:18:41"""
;" ""BA:FB:E4:4E:17:84""";" ""-57""";" ""44""";" ""18:18:44"""
;" ""BA:FB:E4:4E:17:84""";" ""-57""";" ""44""";" ""18:18:48"""
HFU Open;" ""C2:FB:E4:4E:17:84""";" ""-58""";" ""44""";" ""18:18:41"""
HFU Open;" ""C2:FB:E4:4E:17:84""";" ""-57""";" ""44""";" ""18:18:44"""
HFU Open;" ""C2:FB:E4:4E:17:84""";" ""-58""";" ""44""";" ""18:18:48"""
eduroam;" ""22:E8:29:ED:32:54""";" ""-91""";" ""6""";" ""18:18:48"""
;;;;
SSID; BSS; RSSI; Kanal; Datum
HFU Guest;" ""74:83:C2:70:21:C4""";" ""-92""";" ""1""";" ""18:19:19"""
RIS-Labor;" ""86:83:C2:70:21:C4""";" ""-92""";" ""1""";" ""18:19:19"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-80""";" ""6""";" ""18:19:13"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-77""";" ""6""";" ""18:19:16"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-77""";" ""6""";" ""18:19:19"""
;" ""7E:8A:20:0F:32:CB""";" ""-76""";" ""6""";" ""18:19:13"""
;" ""7E:8A:20:0F:32:CB""";" ""-77""";" ""6""";" ""18:19:16"""
;" ""7E:8A:20:0F:32:CB""";" ""-77""";" ""6""";" ""18:19:19"""
HFU Open;" ""86:8A:20:0F:32:62""";" ""-84""";" ""36""";" ""18:19:13"""
HFU Open;" ""86:8A:20:0F:32:62""";" ""-84""";" ""36""";" ""18:19:16"""
HFU Open;" ""86:8A:20:0F:32:62""";" ""-79""";" ""36""";" ""18:19:19"""
;" ""7E:8A:20:0F:32:62""";" ""-83""";" ""36""";" ""18:19:13"""
;" ""7E:8A:20:0F:32:62""";" ""-83""";" ""36""";" ""18:19:16"""
;" ""7E:8A:20:0F:32:62""";" ""-79""";" ""36""";" ""18:19:19"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-87""";" ""44""";" ""18:19:13"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-87""";" ""44""";" ""18:19:16"""
HFU Guest;" ""B4:FB:E4:4D:17:84""";" ""-69""";" ""1""";" ""18:19:13"""
HFU Guest;" ""B4:FB:E4:4D:17:84""";" ""-63""";" ""1""";" ""18:19:16"""
HFU Guest;" ""B4:FB:E4:4D:17:84""";" ""-64""";" ""1""";" ""18:19:19"""
eduroam;" ""BE:FB:E4:4E:13:20""";" ""-53""";" ""44""";" ""18:19:13"""
eduroam;" ""BE:FB:E4:4E:13:20""";" ""-52""";" ""44""";" ""18:19:16"""
eduroam;" ""BE:FB:E4:4E:13:20""";" ""-53""";" ""44""";" ""18:19:19"""
HFU Open;" ""86:8A:20:0F:32:63""";" ""-71""";" ""6""";" ""18:19:13"""
HFU Open;" ""86:8A:20:0F:32:63""";" ""-71""";" ""6""";" ""18:19:16"""
HFU Open;" ""86:8A:20:0F:32:63""";" ""-73""";" ""6""";" ""18:19:19"""
;" ""7E:8A:20:0F:32:63""";" ""-72""";" ""6""";" ""18:19:13"""
;" ""7E:8A:20:0F:32:63""";" ""-72""";" ""6""";" ""18:19:16"""
;" ""7E:8A:20:0F:32:63""";" ""-72""";" ""6""";" ""18:19:19"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-67""";" ""44""";" ""18:19:13"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-65""";" ""44""";" ""18:19:16"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-65""";" ""44""";" ""18:19:19"""
HFU Open;" ""26:E8:29:ED:32:54""";" ""-93""";" ""6""";" ""18:19:13"""
HFU Open;" ""26:E8:29:ED:32:54""";" ""-92""";" ""6""";" ""18:19:16"""
HFU Open;" ""26:E8:29:ED:32:54""";" ""-92""";" ""6""";" ""18:19:19"""
;" ""1E:E8:29:ED:32:54""";" ""-91""";" ""6""";" ""18:19:13"""
HFU Guest;" ""B4:FB:E4:4E:14:C8""";" ""-86""";" ""44""";" ""18:19:13"""
HFU Guest;" ""B4:FB:E4:4E:13:20""";" ""-55""";" ""44""";" ""18:19:13"""
HFU Guest;" ""B4:FB:E4:4E:13:20""";" ""-54""";" ""44""";" ""18:19:16"""
HFU Guest;" ""B4:FB:E4:4E:13:20""";" ""-52""";" ""44""";" ""18:19:19"""
HFU Guest;" ""78:8A:20:0F:32:CA""";" ""-85""";" ""36""";" ""18:19:13"""
HFU Guest;" ""78:8A:20:0F:32:CA""";" ""-85""";" ""36""";" ""18:19:16"""
HFU Guest;" ""78:8A:20:0F:32:CA""";" ""-80""";" ""36""";" ""18:19:19"""
HFU Open;" ""C2:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:19:13"""
HFU Open;" ""C2:FB:E4:4D:14:C8""";" ""-92""";" ""11""";" ""18:19:16"""
HFU Open;" ""C2:FB:E4:4D:14:C8""";" ""-92""";" ""11""";" ""18:19:19"""
;" ""BA:FB:E4:4D:14:C8""";" ""-92""";" ""11""";" ""18:19:13"""
;" ""BA:FB:E4:4D:14:C8""";" ""-92""";" ""11""";" ""18:19:16"""
HFU Guest;" ""B4:FB:E4:4E:17:84""";" ""-67""";" ""44""";" ""18:19:13"""
HFU Guest;" ""B4:FB:E4:4E:17:84""";" ""-65""";" ""44""";" ""18:19:16"""
HFU Guest;" ""B4:FB:E4:4E:17:84""";" ""-65""";" ""44""";" ""18:19:19"""
HFU Open;" ""C2:FB:E4:4D:13:20""";" ""-62""";" ""11""";" ""18:19:13"""
HFU Open;" ""C2:FB:E4:4D:13:20""";" ""-53""";" ""11""";" ""18:19:16"""
HFU Open;" ""C2:FB:E4:4D:13:20""";" ""-53""";" ""11""";" ""18:19:19"""
;" ""BA:FB:E4:4D:13:20""";" ""-51""";" ""11""";" ""18:19:13"""
;" ""BA:FB:E4:4D:13:20""";" ""-53""";" ""11""";" ""18:19:16"""
;" ""BA:FB:E4:4D:13:20""";" ""-53""";" ""11""";" ""18:19:19"""
eduroam;" ""22:E8:29:ED:30:A7""";" ""-93""";" ""1""";" ""18:19:13"""
HFU Guest;" ""78:8A:20:0F:32:CB""";" ""-80""";" ""6""";" ""18:19:13"""
HFU Guest;" ""78:8A:20:0F:32:CB""";" ""-77""";" ""6""";" ""18:19:16"""
HFU Guest;" ""78:8A:20:0F:32:CB""";" ""-77""";" ""6""";" ""18:19:19"""
HFU Guest;" ""78:8A:20:0F:32:62""";" ""-83""";" ""36""";" ""18:19:13"""
HFU Guest;" ""78:8A:20:0F:32:62""";" ""-79""";" ""36""";" ""18:19:16"""
HFU Guest;" ""78:8A:20:0F:32:62""";" ""-79""";" ""36""";" ""18:19:19"""
eduroam;" ""22:E8:29:ED:2F:EA""";" ""-92""";" ""6""";" ""18:19:13"""
HFU Open;" ""C2:FB:E4:4D:17:84""";" ""-69""";" ""1""";" ""18:19:13"""
HFU Open;" ""C2:FB:E4:4D:17:84""";" ""-63""";" ""1""";" ""18:19:16"""
HFU Open;" ""C2:FB:E4:4D:17:84""";" ""-64""";" ""1""";" ""18:19:19"""
;" ""BA:FB:E4:4D:17:84""";" ""-67""";" ""1""";" ""18:19:13"""
UPC2696287;" ""38:43:7D:C9:A9:A8""";" ""-97""";" ""6""";" ""18:19:13"""
UPC2696287;" ""38:43:7D:C9:A9:A8""";" ""-97""";" ""6""";" ""18:19:16"""
UPC2696287;" ""38:43:7D:C9:A9:A8""";" ""-97""";" ""6""";" ""18:19:19"""
HFU Guest;" ""78:8A:20:0F:32:63""";" ""-71""";" ""6""";" ""18:19:13"""
HFU Guest;" ""78:8A:20:0F:32:63""";" ""-72""";" ""6""";" ""18:19:16"""
HFU Guest;" ""78:8A:20:0F:32:63""";" ""-73""";" ""6""";" ""18:19:19"""
eduroam;" ""82:8A:20:0F:32:CA""";" ""-85""";" ""36""";" ""18:19:13"""
eduroam;" ""82:8A:20:0F:32:CA""";" ""-80""";" ""36""";" ""18:19:16"""
eduroam;" ""82:8A:20:0F:32:CA""";" ""-80""";" ""36""";" ""18:19:19"""
eduroam;" ""BE:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:19:13"""
eduroam;" ""BE:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:19:16"""
HFU Guest;" ""18:E8:29:ED:32:54""";" ""-91""";" ""6""";" ""18:19:13"""
eduroam;" ""BE:FB:E4:4D:13:20""";" ""-62""";" ""11""";" ""18:19:13"""
eduroam;" ""BE:FB:E4:4D:13:20""";" ""-53""";" ""11""";" ""18:19:16"""
eduroam;" ""BE:FB:E4:4D:13:20""";" ""-53""";" ""11""";" ""18:19:19"""
eduroam;" ""82:8A:20:0F:32:CB""";" ""-74""";" ""6""";" ""18:19:13"""
eduroam;" ""82:8A:20:0F:32:CB""";" ""-77""";" ""6""";" ""18:19:16"""
eduroam;" ""82:8A:20:0F:32:CB""";" ""-77""";" ""6""";" ""18:19:19"""
eduroam;" ""82:8A:20:0F:32:62""";" ""-83""";" ""36""";" ""18:19:13"""
eduroam;" ""82:8A:20:0F:32:62""";" ""-80""";" ""36""";" ""18:19:16"""
eduroam;" ""82:8A:20:0F:32:62""";" ""-80""";" ""36""";" ""18:19:19"""
HFU Open;" ""C2:FB:E4:4E:14:C8""";" ""-87""";" ""44""";" ""18:19:13"""
HFU Open;" ""C2:FB:E4:4E:14:C8""";" ""-87""";" ""44""";" ""18:19:16"""
HFU Open;" ""26:E8:29:ED:2F:EA""";" ""-93""";" ""6""";" ""18:19:13"""
;" ""BA:FB:E4:4E:14:C8""";" ""-86""";" ""44""";" ""18:19:13"""
DIRECT-RI-IMC4500_Ausstellung;" ""12:98:C3:3B:DF:A6""";" ""-91""";" ""6""";" ""18:19:13"""
eduroam;" ""BE:FB:E4:4D:17:84""";" ""-69""";" ""1""";" ""18:19:13"""
eduroam;" ""BE:FB:E4:4D:17:84""";" ""-63""";" ""1""";" ""18:19:16"""
eduroam;" ""BE:FB:E4:4D:17:84""";" ""-64""";" ""1""";" ""18:19:19"""
HFU Guest;" ""B4:FB:E4:4D:14:C8""";" ""-90""";" ""11""";" ""18:19:13"""
HFU Guest;" ""B4:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:19:16"""
HFU Guest;" ""B4:FB:E4:4D:14:C8""";" ""-91""";" ""11""";" ""18:19:19"""
eduroam;" ""82:8A:20:0F:32:63""";" ""-71""";" ""6""";" ""18:19:13"""
eduroam;" ""82:8A:20:0F:32:63""";" ""-72""";" ""6""";" ""18:19:16"""
eduroam;" ""82:8A:20:0F:32:63""";" ""-73""";" ""6""";" ""18:19:19"""
HFU Open;" ""C2:FB:E4:4E:13:20""";" ""-55""";" ""44""";" ""18:19:13"""
HFU Open;" ""C2:FB:E4:4E:13:20""";" ""-54""";" ""44""";" ""18:19:16"""
HFU Open;" ""C2:FB:E4:4E:13:20""";" ""-52""";" ""44""";" ""18:19:19"""
HFU Guest;" ""B4:FB:E4:4D:13:20""";" ""-62""";" ""11""";" ""18:19:13"""
HFU Guest;" ""B4:FB:E4:4D:13:20""";" ""-53""";" ""11""";" ""18:19:16"""
HFU Guest;" ""B4:FB:E4:4D:13:20""";" ""-53""";" ""11""";" ""18:19:19"""
HFU Open;" ""86:8A:20:0F:32:CA""";" ""-85""";" ""36""";" ""18:19:13"""
HFU Open;" ""86:8A:20:0F:32:CA""";" ""-79""";" ""36""";" ""18:19:16"""
HFU Open;" ""86:8A:20:0F:32:CA""";" ""-80""";" ""36""";" ""18:19:19"""
HFU Open;" ""C2:FB:E4:4E:17:84""";" ""-67""";" ""44""";" ""18:19:13"""
HFU Open;" ""C2:FB:E4:4E:17:84""";" ""-65""";" ""44""";" ""18:19:16"""
HFU Open;" ""C2:FB:E4:4E:17:84""";" ""-65""";" ""44""";" ""18:19:19"""
;" ""BA:FB:E4:4E:17:84""";" ""-57""";" ""44""";" ""18:19:13"""
;" ""BA:FB:E4:4E:13:20""";" ""-54""";" ""44""";" ""18:19:16"""
;" ""BA:FB:E4:4E:13:20""";" ""-52""";" ""44""";" ""18:19:19"""
eduroam;" ""22:E8:29:ED:32:54""";" ""-93""";" ""6""";" ""18:19:13"""
eduroam;" ""22:E8:29:ED:32:54""";" ""-92""";" ""6""";" ""18:19:16"""
eduroam;" ""22:E8:29:ED:32:54""";" ""-93""";" ""6""";" ""18:19:19"""
;;;;
SSID; BSS; RSSI; Kanal; Datum
HFU Guest;" ""B4:FB:E4:4D:17:84""";" ""-59""";" ""1""";" ""18:21:00"""
HFU Guest;" ""B4:FB:E4:4D:17:84""";" ""-54""";" ""1""";" ""18:21:04"""
HFU Guest;" ""B4:FB:E4:4D:17:84""";" ""-54""";" ""1""";" ""18:21:07"""
;" ""7E:8A:20:0F:32:CB""";" ""-71""";" ""6""";" ""18:21:00"""
;" ""7E:8A:20:0F:32:CB""";" ""-71""";" ""6""";" ""18:21:04"""
;" ""7E:8A:20:0F:32:CB""";" ""-71""";" ""6""";" ""18:21:07"""
HFU Open;" ""86:8A:20:0F:32:62""";" ""-67""";" ""36""";" ""18:21:00"""
HFU Open;" ""86:8A:20:0F:32:62""";" ""-63""";" ""36""";" ""18:21:04"""
HFU Open;" ""86:8A:20:0F:32:62""";" ""-63""";" ""36""";" ""18:21:07"""
;" ""7E:8A:20:0F:32:62""";" ""-67""";" ""36""";" ""18:21:00"""
;" ""7E:8A:20:0F:32:62""";" ""-67""";" ""36""";" ""18:21:04"""
;" ""7E:8A:20:0F:32:62""";" ""-67""";" ""36""";" ""18:21:07"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-88""";" ""44""";" ""18:21:00"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-88""";" ""44""";" ""18:21:04"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-88""";" ""44""";" ""18:21:07"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-72""";" ""6""";" ""18:21:00"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-72""";" ""6""";" ""18:21:04"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-72""";" ""6""";" ""18:21:07"""
eduroam;" ""BE:FB:E4:4E:13:20""";" ""-62""";" ""44""";" ""18:21:00"""
eduroam;" ""BE:FB:E4:4E:13:20""";" ""-62""";" ""44""";" ""18:21:04"""
eduroam;" ""BE:FB:E4:4E:13:20""";" ""-63""";" ""44""";" ""18:21:07"""
HFU Open;" ""86:8A:20:0F:32:63""";" ""-58""";" ""6""";" ""18:21:00"""
HFU Open;" ""86:8A:20:0F:32:63""";" ""-59""";" ""6""";" ""18:21:04"""
HFU Open;" ""86:8A:20:0F:32:63""";" ""-59""";" ""6""";" ""18:21:07"""
;" ""7E:8A:20:0F:32:63""";" ""-60""";" ""6""";" ""18:21:00"""
;" ""7E:8A:20:0F:32:63""";" ""-60""";" ""6""";" ""18:21:04"""
;" ""7E:8A:20:0F:32:63""";" ""-60""";" ""6""";" ""18:21:07"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-56""";" ""44""";" ""18:21:00"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-57""";" ""44""";" ""18:21:04"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-55""";" ""44""";" ""18:21:07"""
